"Medelfolkmängd (efter födelseår) efter region, ålder, kön och år"

"region","ålder","kön","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"0604 Aneby","totalt ålder","kvinnor",3230.5,3217.5,3197.5,3167.5,3126.5,3122.5,3129.5,3112.0,3111.0,3162.0,3215.5
"0617 Gnosjö","totalt ålder","män",4936.0,4912.5,4925.5,4902.0,4887.5,4852.0,4791.0,4796.5,4853.0,4894.0,4941.0
"0617 Gnosjö","totalt ålder","kvinnor",4739.5,4715.0,4732.0,4695.0,4653.5,4621.0,4586.0,4583.5,4604.5,4617.5,4623.5
"0642 Mullsjö","totalt ålder","män",3553.5,3543.5,3545.5,3541.5,3528.0,3526.5,3525.0,3520.5,3531.5,3563.5,3604.5
"0642 Mullsjö","totalt ålder","kvinnor",3527.5,3517.0,3520.5,3515.0,3502.0,3507.0,3527.0,3534.0,3542.5,3569.5,3587.0
"0643 Habo","totalt ålder","män",5046.5,5174.5,5283.0,5357.0,5403.0,5446.5,5491.5,5526.5,5580.0,5675.5,5808.5
"0643 Habo","totalt ålder","kvinnor",4935.5,5074.0,5167.5,5243.0,5304.5,5338.0,5362.0,5400.5,5462.5,5536.5,5641.5
"0662 Gislaved","totalt ålder","män",14897.5,14856.5,14854.5,14801.0,14725.5,14646.0,14556.5,14519.0,14526.0,14685.5,14922.5
"0662 Gislaved","totalt ålder","kvinnor",14510.5,14472.0,14500.5,14495.0,14436.0,14343.5,14243.5,14203.5,14199.0,14319.0,14452.5
"0665 Vaggeryd","totalt ålder","män",6388.0,6467.0,6503.0,6501.0,6516.0,6571.0,6604.5,6631.0,6654.5,6696.5,6801.5
"0665 Vaggeryd","totalt ålder","kvinnor",6352.5,6410.5,6457.0,6469.0,6459.0,6504.5,6549.5,6547.5,6564.5,6604.0,6706.5
"0680 Jönköping","totalt ålder","män",59683.5,60461.5,61259.5,61930.5,62560.0,63176.5,63834.5,64560.5,65332.5,66029.5,66898.5
"0680 Jönköping","totalt ålder","kvinnor",61896.0,62490.0,63172.0,63812.0,64296.5,64667.0,65057.0,65577.5,66136.5,66695.5,67405.0
"0682 Nässjö","totalt ålder","män",14673.0,14720.0,14781.5,14782.5,14735.5,14748.5,14801.5,14866.0,15052.5,15352.0,15631.0
"0682 Nässjö","totalt ålder","kvinnor",14668.5,14695.0,14704.5,14717.5,14678.5,14604.5,14573.0,14583.0,14659.0,14827.0,15004.5
"0683 Värnamo","totalt ålder","män",16263.0,16350.5,16353.0,16323.5,16345.5,16404.5,16458.5,16539.0,16666.0,16794.0,16971.0
"0683 Värnamo","totalt ålder","kvinnor",16507.5,16535.0,16523.5,16464.5,16447.5,16479.0,16514.5,16544.5,16578.5,16609.5,16718.5
"0684 Sävsjö","totalt ålder","män",5531.0,5534.5,5530.0,5520.0,5503.0,5503.5,5499.5,5537.5,5636.5,5718.5,5811.0
"0684 Sävsjö","totalt ålder","kvinnor",5456.0,5426.5,5380.0,5357.0,5347.5,5347.0,5358.0,5369.0,5398.0,5445.5,5501.0
"0685 Vetlanda","totalt ålder","män",13389.5,13376.5,13363.5,13356.5,13351.5,13358.0,13372.5,13402.5,13509.0,13633.5,13787.5
"0685 Vetlanda","totalt ålder","kvinnor",13030.0,12996.0,12990.5,12990.0,12975.5,12945.0,12927.0,12955.5,13024.0,13126.5,13269.5
"0686 Eksjö","totalt ålder","män",8234.5,8212.0,8156.0,8126.5,8115.0,8114.5,8152.0,8186.0,8244.5,8350.5,8503.0
"0686 Eksjö","totalt ålder","kvinnor",8311.0,8263.5,8217.5,8206.0,8183.5,8159.5,8184.0,8230.0,8286.5,8343.5,8456.5
"0687 Tranås","totalt ålder","män",8814.5,8866.0,8939.5,8972.0,9002.0,9033.0,9058.0,9101.5,9184.5,9291.5,9399.0
"0687 Tranås","totalt ålder","kvinnor",8950.5,8976.5,9053.5,9082.5,9079.0,9080.5,9068.5,9069.5,9122.0,9189.5,9271.0
"0760 Uppvidinge","totalt ålder","män",4851.0,4880.0,4841.5,4804.5,4784.5,4771.5,4788.5,4826.0,4814.5,4815.5,4910.0
"0760 Uppvidinge","totalt ålder","kvinnor",4636.0,4616.0,4574.0,4529.0,4497.5,4458.5,4457.5,4456.0,4440.5,4455.0,4503.5
"0761 Lessebo","totalt ålder","män",4063.0,4069.0,4077.0,4115.5,4146.0,4135.5,4099.0,4105.0,4191.0,4321.5,4465.5
"0761 Lessebo","totalt ålder","kvinnor",4050.0,4015.5,4000.5,4009.5,4006.0,3972.5,3945.5,3930.5,3966.5,4064.5,4172.5
"0763 Tingsryd","totalt ålder","män",6498.0,6443.5,6375.0,6302.0,6234.0,6200.5,6176.0,6156.5,6166.0,6192.0,6260.5
"0763 Tingsryd","totalt ålder","kvinnor",6254.5,6212.5,6176.0,6128.0,6060.5,6032.5,6012.0,5992.0,6011.0,6037.0,6066.0
"0764 Alvesta","totalt ålder","män",9489.5,9530.5,9562.5,9556.0,9568.5,9621.0,9693.5,9794.0,9909.0,9990.5,10090.0
"0764 Alvesta","totalt ålder","kvinnor",9223.0,9228.0,9213.0,9210.0,9211.0,9238.5,9282.0,9363.0,9482.5,9551.5,9625.5
"0765 Älmhult","totalt ålder","män",7707.5,7701.5,7715.5,7774.0,7818.5,7823.0,7854.0,7907.0,7985.5,8113.0,8309.5
"0765 Älmhult","totalt ålder","kvinnor",7649.5,7671.5,7679.0,7716.5,7768.0,7793.0,7822.5,7834.5,7848.0,7925.0,8083.5
"0767 Markaryd","totalt ålder","män",4807.0,4829.5,4832.5,4817.0,4828.0,4824.5,4782.5,4788.5,4824.5,4917.0,5046.5
"0767 Markaryd","totalt ålder","kvinnor",4785.0,4797.5,4788.0,4762.5,4761.0,4741.5,4712.5,4707.5,4707.5,4747.0,4838.5
"0780 Växjö","totalt ålder","män",38814.0,39449.0,40154.0,40829.0,41337.0,41796.0,42257.0,42778.5,43387.5,44023.0,44686.0
"0780 Växjö","totalt ålder","kvinnor",39104.0,39568.5,40164.0,40719.5,41177.0,41561.5,41998.0,42532.5,43008.5,43516.0,44118.0
"0781 Ljungby","totalt ålder","män",13644.5,13733.0,13839.5,13855.0,13806.0,13806.5,13844.5,13831.0,13879.5,13984.5,14124.5
"0781 Ljungby","totalt ålder","kvinnor",13462.5,13465.5,13513.5,13565.0,13547.5,13520.5,13545.5,13519.0,13520.0,13595.5,13698.5
"0821 Högsby","totalt ålder","män",3076.5,3031.0,3001.5,3005.0,2978.5,2945.5,2928.0,2911.0,2921.5,2978.5,3069.5
"0821 Högsby","totalt ålder","kvinnor",2973.0,2951.0,2929.0,2896.5,2846.5,2827.0,2821.0,2813.0,2828.5,2841.0,2899.0
"0834 Torsås","totalt ålder","män",3681.5,3656.0,3644.0,3626.5,3616.5,3604.5,3577.5,3565.5,3590.0,3631.0,3691.5
"0834 Torsås","totalt ålder","kvinnor",3515.5,3487.5,3460.5,3433.5,3386.5,3319.5,3294.5,3303.0,3312.0,3303.0,3311.5
"0840 Mörbylånga","totalt ålder","män",6578.5,6642.0,6692.5,6737.0,6809.5,6880.0,6938.0,7003.5,7088.0,7198.5,7309.5
"0840 Mörbylånga","totalt ålder","kvinnor",6884.0,6922.0,6980.0,7048.5,7118.0,7199.5,7259.0,7308.5,7345.0,7385.0,7483.0
"0860 Hultsfred","totalt ålder","män",7272.5,7213.0,7153.0,7080.5,6996.0,6913.5,6883.5,6929.5,6998.5,7095.5,7337.0
"0860 Hultsfred","totalt ålder","kvinnor",7108.5,7038.0,6968.0,6870.0,6779.5,6692.0,6649.0,6663.0,6688.0,6733.0,6926.0
"0861 Mönsterås","totalt ålder","män",6577.0,6590.0,6550.0,6499.5,6488.0,6468.5,6453.5,6482.0,6563.0,6640.5,6733.0
"0861 Mönsterås","totalt ålder","kvinnor",6530.0,6522.5,6485.0,6468.5,6456.5,6412.5,6372.5,6392.0,6440.0,6460.0,6536.5
"0862 Emmaboda","totalt ålder","män",4821.0,4778.0,4749.5,4715.0,4689.5,4637.5,4586.0,4559.5,4571.0,4627.0,4720.5
"0862 Emmaboda","totalt ålder","kvinnor",4668.5,4631.5,4607.5,4562.0,4515.5,4475.5,4429.0,4418.0,4415.5,4422.5,4498.5
"0880 Kalmar","totalt ålder","män",29932.0,30090.0,30214.0,30507.0,30842.5,30959.0,31152.0,31424.0,31748.0,32227.0,32738.0
"0880 Kalmar","totalt ålder","kvinnor",31190.5,31337.0,31399.0,31533.5,31759.0,31976.0,32211.0,32355.0,32533.5,32963.0,33399.5
"0881 Nybro","totalt ålder","män",9900.0,9864.5,9848.0,9849.5,9885.0,9904.5,9871.0,9848.5,9945.0,10040.0,10207.0
"0881 Nybro","totalt ålder","kvinnor",9827.5,9797.0,9752.0,9717.0,9728.5,9739.0,9690.0,9639.0,9656.5,9694.0,9825.5
"0882 Oskarshamn","totalt ålder","män",13097.0,13118.5,13150.5,13156.0,13122.0,13126.0,13142.5,13166.0,13236.5,13331.0,13581.5
"0882 Oskarshamn","totalt ålder","kvinnor",13148.5,13150.5,13151.0,13114.5,13075.5,13038.5,13012.5,13012.0,13020.0,13044.5,13146.5
"0883 Västervik","totalt ålder","män",18075.5,18079.0,18063.5,18008.5,17966.0,17906.5,17866.0,17881.5,17925.0,17991.0,18156.0
"0883 Västervik","totalt ålder","kvinnor",18377.0,18350.0,18343.5,18314.5,18282.0,18204.0,18087.5,17998.0,17968.5,17993.5,18087.5
"0884 Vimmerby","totalt ålder","män",7839.5,7868.5,7873.0,7857.5,7845.5,7831.0,7831.5,7821.5,7803.0,7841.5,7955.5
"0884 Vimmerby","totalt ålder","kvinnor",7761.0,7729.5,7706.5,7687.0,7660.0,7604.0,7568.5,7523.5,7489.0,7516.5,7572.0
"0885 Borgholm","totalt ålder","män",5458.0,5427.5,5410.5,5393.0,5342.5,5299.0,5334.0,5342.5,5333.0,5367.5,5451.5
"0885 Borgholm","totalt ålder","kvinnor",5567.0,5530.5,5483.5,5437.5,5398.5,5350.0,5361.0,5351.0,5317.0,5313.5,5354.0
"0980 Gotland","totalt ålder","män",28298.0,28268.5,28238.0,28282.5,28354.5,28391.5,28381.5,28373.5,28421.5,28505.0,28732.5
